44.5, 1.08, 7.82, 3.64, 0.28, 91.22, 9.7, 11.08, 0.5, 14.88, 0.48, 0.76, 17.18, 25.14, 11.16, 13.86, 1.72, 27.08, 16.04, 0.02, 2.08, 2.78, 0.0, 6.22, 16.16, 8.1, 12.68, 24.22, 2.96, 5.52
0.34, 0.54, 0.35, 1.85, 0.59, 15.63, 14.72, 0.62, 2.86, 1.96, 2.71, 0.87, 1.35, 0.24, 1.27, 1.54, 0.47, 2.3, 0.32, 0.55, 2.64, 1.48, 0, 0.74, 2.45, 0.47, 3.97, 0.96, 1.63, 1.23
0.34, 0.54, 0.35, 7.34, 0.59, 10.7, 12.9, 0.07, 0.75, 6.82, 2.71, 0.01, 1.46, 2.82, 4.93, 1.86, 1.15, 1.28, 0.99, 0.0, 2.65, 0.31, 0, 1.06, 1.5, 0.47, 1.36, 1.81, 1.63, 0.82
0.34, 0.54, 0.84, 3.69, 0.59, 4.47, 29.98, 0.07, 0.75, 7.07, 2.87, 0.01, 1.46, 5.52, 4.93, 2.49, 0.66, 3.66, 1.66, 0.42, 2.65, 1.15, 0, 1.97, 4.39, 1.21, 0.27, 1.28, 1.63, 0.82
0.34, 0.54, 0.84, 3.69, 0.59, 4.47, 29.98, 0.07, 0.75, 7.07, 2.87, 0.87, 1.42, 3.67, 4.93, 2.49, 0.66, 1.77, 1.15, 0.42, 2.65, 1.56, 0, 4.17, 3.71, 1.77, 2.12, 1.28, 1.63, 0.82
0.39, 0.49, 0.59, 4.61, 0.45, 5.12, 28.58, 2.02, 1.75, 2.89, 0.08, 2.16, 0.48, 4.72, 6.07, 8.42, 0.24, 5.43, 0.38, 0.65, 5.62, 6.05, 0, 1.24, 3.54, 2.26, 1.64, 0.92, 0.03, 0.95
0, 0.0, 9.68, 0.0, 0.0, 31.18, 0.0, 0.0, 42.52, 7.2, 16.73, 19.18, 26.16, 43.02, 44.6, 5.56, 26.35, 16.42, 25.22, 0.0, 0.0, 16.28, 0.0, 14.91, 0.0, 22.21, 20.26, 14.29, 8.8, 5.55
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.78, 0.0, 23.51, 8.81, 23.52, 35.43, 17.88, 5.56, 0.0, 5.44, 0.0, 0.0, 0.0, 6.1, 0.0, 0.0, 10.85, 0.0, 18.29, 10.2, 10.57, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.36, 0.0, 7.7, 0.0, 10.81, 9.08, 6.94, 0.0, 5.09, 0.0, 0.0, 5.15, 0.0, 0.0, 10.24, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.85, 0.0, 0.0, 16.27, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.24, 8.81, 0.0, 0.0, 0.0, 0.0, 10.81, 8.92, 0.0, 0.0, 0.0, 7.09, 0.0, 0.0, 10.85, 5.54, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 9.68, 5.87, 5.15, 0.0, 0.0, 15.22, 16.04, 9.23, 0.0, 13.96, 8.58, 18.37, 18.7, 36.94, 15.79, 29.62, 0.0, 7.27, 13.38, 0.0, 0.0, 6.43, 6.27, 0.0, 0.0, 8.8, 0.0
